Pagetype,Assignee,ilanTarihi,kategori,marka,model,il,galeri_ID,ilanNo,photoCount,Fiyat,Detail_ContactNumberCount ,Detail_MessageContactStatus,Detail_850Status,Detail_PhoneContactStatus,Detail_Breadcrumb,Detail_CarSegment,ilan_no,ilan_tarihi,seri,yil,kilometre,vites_tipi,yakit_tipi,kasa_tipi,renk,motor_hacmi,motor_gucu,cekis,arac_durumu,ort._yakit_tuketimi,yakit_deposu,boya-degisen,takasa_uygun,kimden,Etiket,motor_gucu_(kw),batarya_voltaji_(v),menzil,sarj_suresi,pil_kapasitesi_(kwh),plaka_uyrugu
Detail,9543974,20240224,Otomobil,Toyota,1.6 Elegant,Osmaniye,9618325,24598593,13,625000,1,1,0,1,Otomobil / Toyota / Corolla / 1.6 / Elegant / ,C,24598593,24 Şubat 2024,Corolla,2007,222.000 km,Düz,LPG & Benzin,Sedan,Gri (Gümüş),1598 cc,124 hp,Önden Çekiş,İkinci El,"6,9 lt",55 lt,Tamamı orjinal,,Sahibinden,,,,,,,
Detail,2388153,20240226,Otomobil,Toyota,1.6 GLi,Manisa,1333170,24083205,15,390000,1,1,0,1,Otomobil / Toyota / Corolla / 1.6 / GLi / ,C,24083205,26 Şubat 2024,Corolla,1993,292.000 km,Düz,LPG & Benzin,Hatchback/5,Gri,1587 cc,114 hp,Önden Çekiş,İkinci El,,50 lt,12 boyalı,Takasa Uygun,Sahibinden,,,,,,,
Detail,6806706,20240225,Otomobil,Toyota,1.6 Terra,İzmir,6882619,24612031,8,580000,1,1,0,1,Otomobil / Toyota / Corolla / 1.6 / Terra / ,C,24612031,25 Şubat 2024,Corolla,2006,80.000 km,Otomatik,Benzin,Sedan,Siyah,1598 cc,110 hp,Önden Çekiş,İkinci El,"7,5 lt",55 lt,"3 değişen, 3 boyalı",Takasa Uygun,Sahibinden,Düşük Km,,,,,,
Detail,2834649,20240225,Otomobil,Toyota,1.6 Terra,Şanlıurfa,3030037,24606927,14,382000,1,1,0,1,Otomobil / Toyota / Corolla / 1.6 / Terra / ,C,24606927,25 Şubat 2024,Corolla,2001,249.000 km,Otomatik,LPG & Benzin,Sedan,Beyaz,1598 cc,110 hp,Önden Çekiş,İkinci El,"7,8 lt",50 lt,"4 değişen, 8 boyalı",Takasa Uygun,Sahibinden,,,,,,,
Detail,2885833,20240224,Otomobil,Toyota,1.6 Linea Terra,Osmaniye,1510451,24599077,9,405000,1,1,0,1,Otomobil / Toyota / Corolla / 1.6 / Linea Terra / ,C,24599077,24 Şubat 2024,Corolla,2002,136.000 km,Otomatik,Benzin,Hatchback/5,Gri (Gümüş),1598 cc,110 hp,Önden Çekiş,İkinci El,8 lt,50 lt,"2 değişen, 1 boyalı",Takasa Uygun Değil,Sahibinden,Düşük Km,,,,,,
Detail,5760454,20240223,Otomobil,Toyota,1.6 XLi,Konya,3561764,23966113,14,345000,2,1,0,1,Otomobil / Toyota / Corolla / 1.6 / XLi / ,C,23966113,23 Şubat 2024,Corolla,1996,270.000 km,Düz,LPG & Benzin,Sedan,Gri (Gümüş),1587 cc,105 hp,Önden Çekiş,,,50 lt,Belirtilmemiş,Takasa Uygun,Galeriden,,,,,,,
Detail,2086439,20240223,Otomobil,Toyota,1.6 XLi,Şanlıurfa,3255696,24598173,11,310000,1,1,0,1,Otomobil / Toyota / Corolla / 1.6 / XLi / ,C,24598173,23 Şubat 2024,Corolla,1995,326.000 km,Düz,LPG & Benzin,Sedan,Beyaz,1587 cc,105 hp,Önden Çekiş,İkinci El,,50 lt,"1 değişen, 10 boyalı",Takasa Uygun,Sahibinden,,,,,,,
Detail,8457923,20240224,Otomobil,Toyota,1.6 Terra Special,Osmaniye,8532516,24603218,7,488000,1,1,0,1,Otomobil / Toyota / Corolla / 1.6 / Terra Special / ,,24603218,24 Şubat 2024,Corolla,2005,182.000 km,Düz,LPG & Benzin,Hatchback/5,Gri (Gümüş),,,,İkinci El,,,2 boyalı,,Sahibinden,,,,,,,
Detail,6586722,20240223,Otomobil,Toyota,1.6 Elegant,Şanlıurfa,6662736,24595055,6,510000,1,1,0,1,Otomobil / Toyota / Corolla / 1.6 / Elegant / ,,24595055,23 Şubat 2024,Corolla,2011,265.000 km,Otomatik,LPG & Benzin,Sedan,Gri (Gümüş),,,,İkinci El,,,"2 değişen, 7 boyalı",,Sahibinden,,,,,,,
Detail,7921661,20240223,Otomobil,Toyota,1.6 XLi,Konya,7996848,24058887,15,340000,1,1,0,1,Otomobil / Toyota / Corolla / 1.6 / XLi / ,C,24058887,23 Şubat 2024,Corolla,1994,268.000 km,Düz,LPG & Benzin,Sedan,Yeşil,1587 cc,105 hp,Önden Çekiş,İkinci El,,50 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,,,,,,,
Detail,8785086,20240223,Otomobil,Toyota,1.6 Dream,Gaziantep,8859714,24591452,15,935000,1,1,0,1,Otomobil / Toyota / Corolla / 1.6 / Dream / ,C,24591452,23 Şubat 2024,Corolla,2019,91.000 km,Düz,LPG & Benzin,Sedan,Beyaz,1598 cc,132 hp,Önden Çekiş,İkinci El,"5,8 lt",50 lt,Belirtilmemiş,,Sahibinden,,,,,,,
