Pagetype,Assignee,ilanTarihi,kategori,marka,model,il,galeri_ID,ilanNo,photoCount,Etiket,Fiyat,Detail_ContactNumberCount ,Detail_MessageContactStatus,Detail_850Status,Detail_PhoneContactStatus,Detail_Breadcrumb,Detail_CarSegment,ilan_no,ilan_tarihi,seri,yil,kilometre,vites_tipi,yakit_tipi,kasa_tipi,renk,motor_hacmi,motor_gucu,cekis,arac_durumu,ort._yakit_tuketimi,yakit_deposu,boya-degisen,takasa_uygun,kimden
Detail,9572040,20240304,Otomobil,Toyota,1.4 D-4D Sol,Aydın,9646377,24678364,15,,495000,1,1,0,1,Otomobil / Toyota / Corolla / 1.4 D-4D / Sol / ,C,24678364,04 Mart 2024,Corolla,2007,214.000 km,Düz,Dizel,Hatchback/5,Gri (Gümüş),1364 cc,90 hp,Önden Çekiş,İkinci El,"4,8 lt",55 lt,Tamamı orjinal,Takasa Uygun,Sahibinden
Detail,9526076,20240304,Otomobil,Toyota,1.4 D-4D Advance,Sakarya,9600447,24667029,15,,800000,1,1,0,1,Otomobil / Toyota / Corolla / 1.4 D-4D / Advance / ,C,24667029,04 Mart 2024,Corolla,2014,129.000 km,Düz,Dizel,Sedan,Beyaz,1364 cc,90 hp,Önden Çekiş,İkinci El,"4,1 lt",55 lt,Tamamı orjinal,,Sahibinden
Detail,8402459,20240305,Otomobil,Toyota,1.4 D-4D Touch,İzmir,8477138,22396328,25,,595000,1,1,1,1,Otomobil / Toyota / Corolla / 1.4 D-4D / Touch / ,C,22396328,05 Mart 2024,Corolla,2015,176.000 km,Düz,Dizel,Sedan,Beyaz,1364 cc,90 hp,Önden Çekiş,,"4,1 lt",55 lt,Belirtilmemiş,Takasa Uygun,Galeriden
Detail,5219263,20240305,Otomobil,Toyota,1.4 D-4D Advance,Adana,5286827,24681149,14,,860000,1,1,0,1,Otomobil / Toyota / Corolla / 1.4 D-4D / Advance / ,C,24681149,05 Mart 2024,Corolla,2017,132.750 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1364 cc,90 hp,Önden Çekiş,İkinci El,"4,1 lt",55 lt,Belirtilmemiş,,Sahibinden
Detail,9538302,20240304,Otomobil,Toyota,1.4 D-4D Premium,Şırnak,9612656,24669662,14,,815000,1,1,0,1,Otomobil / Toyota / Corolla / 1.4 D-4D / Premium / ,C,24669662,04 Mart 2024,Corolla,2013,143.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1364 cc,90 hp,Önden Çekiş,İkinci El,"4,1 lt",55 lt,Tamamı orjinal,,Sahibinden
Detail,6829368,20240306,Otomobil,Toyota,1.4 D-4D Elegant,Niğde,6905275,24690821,14,,505000,1,1,0,1,Otomobil / Toyota / Corolla / 1.4 D-4D / Elegant / ,C,24690821,06 Mart 2024,Corolla,2008,320.000 km,Düz,Dizel,Sedan,Siyah,1364 cc,90 hp,Önden Çekiş,İkinci El,"4,9 lt",55 lt,Belirtilmemiş,,Sahibinden
Detail,6435642,20240305,Otomobil,Toyota,1.4 D-4D Comfort,Tekirdağ,6511698,24680526,6,,570000,1,1,0,1,Otomobil / Toyota / Corolla / 1.4 D-4D / Comfort / ,C,24680526,05 Mart 2024,Corolla,2011,213.500 km,Düz,Dizel,Sedan,Beyaz,1364 cc,90 hp,Önden Çekiş,İkinci El,"4,7 lt",55 lt,Belirtilmemiş,,Sahibinden
Detail,4389937,20240306,Otomobil,Toyota,1.4 D-4D Comfort,İstanbul,4420840,24693252,10,Düşük Km,570000,1,1,0,1,Otomobil / Toyota / Corolla / 1.4 D-4D / Comfort / ,C,24693252,06 Mart 2024,Corolla,2010,104.500 km,Düz,Dizel,Sedan,Gri (metalik),1364 cc,90 hp,Önden Çekiş,İkinci El,"4,7 lt",55 lt,3 değişen,,Sahibinden
Detail,9570468,20240306,Otomobil,Toyota,1.4 D-4D Comfort,Bolu,9644807,24673390,8,,560000,1,1,0,1,Otomobil / Toyota / Corolla / 1.4 D-4D / Comfort / ,C,24673390,06 Mart 2024,Corolla,2011,227.500 km,Düz,Dizel,Sedan,Gri (metalik),1364 cc,90 hp,Önden Çekiş,İkinci El,"4,7 lt",55 lt,"1 değişen, 3 boyalı",,Sahibinden
Detail,5964404,20240304,Otomobil,Toyota,1.4 D-4D Advance,İstanbul,6037264,24674983,9,,780000,1,1,0,1,Otomobil / Toyota / Corolla / 1.4 D-4D / Advance / ,C,24674983,04 Mart 2024,Corolla,2015,160.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1364 cc,90 hp,Önden Çekiş,İkinci El,"4,1 lt",55 lt,"1 değişen, 5 boyalı",Takasa Uygun Değil,Sahibinden
